Series Name,Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Unemployment, total (% of total labor force) (national estimate)",Algeria,21.26000023,20.60000038,24.37999916,26.22999954,27.73999977,31.84000015,..,25.43000031,..,..,29.77000046,27.29999924,25.89999962,23.71999931,17.64999962,15.27000046,12.27000046,13.78999996,11.32999992,10.15999985,9.960000038,9.960000038,10.97000027,9.819999695,10.21000004,11.21000004,10.19999981,13.56999969,..,..
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",Algeria,..,24.75,30.55999947,33.61999893,37.22000122,44.97999954,42.40999985,39.72999954,42.86000061,45.41999817,47.99000168,45.79000092,46.11000061,44.81999969,34.22000122,34.47000122,29.54999924,37.15999985,35.45999908,34.79000092,37.36999893,35.13999939,39.08000183,39.86000061,39.13999939,45.11000061,43.50999832,45.68000031,45.52000046,45.54999924
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.56000137,37.56999969,..,39.22000122,39.77999878,39.02000046,45.29999924,44.93999863,82.01999664,..,..
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",Algeria,..,36.74000168,42.65000153,45.38999939,47.36000061,53.52000046,48.25,43.27999878,45.66999817,48.50999832,51.08000183,47.31999969,45.91999817,43.27000046,34.08000183,30.03000069,22.87999916,25.60000038,21.95000076,19.21999931,18.87999916,19.89999962,24.93000031,21.76000023,22.62000084,26.57999992,21.82999992,26.17000008,26.26000023,26.40999985
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.96999931,18.68000031,..,24.92000008,21.60000038,22.29000092,26.71999931,22.06999969,33.06999969,..,..
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Algeria,..,34.40000153,40.29999924,43.13999939,45.45000076,51.93000031,47.16999817,42.63999939,45.18000031,47.97999954,50.56000137,47.06000137,45.95000076,43.52000046,34.09999847,30.70999908,23.88999939,27.32999992,23.95000076,21.51000023,21.84000015,22.52000046,27.54999924,25.02000046,25.34000015,29.69000053,25.54000092,29.55999947,29.57999992,29.69000053
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",Algeria,..,..,..,..,..,..,..,..,..,..,..,47.75999832,..,..,..,31.07999992,24.29999924,27.40999985,23.80999947,21.26000023,21.54000092,22.43000031,27.54000092,24.79999924,25.03000069,29.84000015,25.71999931,39.31000137,..,..
Access to electricity (% of population),Angola,..,..,..,..,..,..,..,..,..,..,..,20,25.05605698,26.13858986,27.19790077,28.2321949,29.25037956,37.5,31.28475761,32.32411957,33.39371109,34.6,35.66650009,36.87238312,32,42,40.66801834,41.96289444,43.25925827,..
"Children in employment, total (% of children ages 7-14)",Angola,..,..,..,..,..,..,..,..,..,..,..,30.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary",Angola,..,..,..,..,..,..,..,..,1025431,..,..,..,..,..,..,..,..,..,655870,728219,730775,773837,..,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.633899927,..,..,..,..,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.92346954,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.633899927,..,..,..,..,..
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.633899927,..,..,..,..,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.86353016,..,..,..,..,..
Employment in agriculture (% of total employment) (modeled ILO estimate),Angola,..,39.83000183,39.90000153,40.20999908,40.09000015,39.56000137,38.97999954,38.54000092,38.15999985,37.86000061,37.5,37.22000122,36.56000137,36.45000076,36.16999817,38.11000061,40.20999908,42.20999908,44.36999893,46.50999832,48.88000107,51.22000122,51.22999954,51.18000031,51.13999939,51.15999985,51.15000153,50.99000168,50.90999985,50.72999954
Employment in industry (% of total employment) (modeled ILO estimate),Angola,..,8.880000114,8.760000229,8.649999619,8.56000042,8.489999771,8.460000038,8.460000038,8.5,8.5,8.569999695,8.670000076,8.789999962,8.930000305,9.100000381,8.840000153,8.579999924,8.319999695,8.010000229,7.75,7.849999905,7.960000038,7.940000057,7.860000134,7.730000019,7.570000172,7.389999866,7.190000057,6.989999771,6.800000191
Employment in services (% of total employment) (modeled ILO estimate),Angola,..,51.29999924,51.34000015,51.13000107,51.34999847,51.95000076,52.56000137,53,53.34000015,53.63999939,53.93000031,54.11999893,54.65999985,54.61999893,54.74000168,53.04999924,51.20999908,49.47000122,47.63000107,45.74000168,43.27000046,40.81999969,40.84000015,40.95999908,41.13000107,41.27999878,41.45999908,41.81999969,42.11000061,42.47000122
GDP growth (annual %),Angola,-3.450098684,0.9913593015,-5.838280733,-23.98341744,1.339363436,15.00000003,13.54436976,7.274277355,4.691146451,2.181489718,3.054624234,4.205998556,13.66568652,2.98985001,10.95286177,15.02891532,11.54768318,14.01001824,11.16613833,0.8587126151,4.403932543,3.471976345,8.542187643,4.954544646,4.822627568,0.9435715613,-2.580049644,-0.1472129411,-2.003629727,..
Informal employment (% of total non-agricultural employment),Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.22000122,..,..,..,..,..,..,68.09999847,..,..,..,..,..,..,..,..
"Informal employment, female (% of total non-agricultural employment)",Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.51999664,..,..,..,..,..,..,79.52999878,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Angola,..,..,..,..,..,..,..,..,..,..,..,67.4054184,..,..,..,..,..,..,..,..,..,..,..,..,66.03011322,..,..,..,..,..
"Literacy rate, youth total (% of people ages 15-24)",Angola,..,..,..,..,..,..,..,..,..,..,..,72.19448853,..,..,..,..,..,..,..,..,..,..,..,..,77.43112946,..,..,..,..,..
"Lower secondary completion rate, total (% of relevant age group)",Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.37347984,17.66576004,..,20.73881912,..,..,..,..,..,..,..,..
"Over-age students, primary (% of enrollment)",Angola,..,..,..,..,..,..,..,..,36.60637,..,..,..,..,..,..,..,..,..,28.13541,28.10576,28.13743,23.23049,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.95999908,..,..,..,..,25.80999947,..,10.01000023,..,..,27.89999962,..,..,..,..,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",Angola,..,2.589999914,2.829999924,2.900000095,2.910000086,2.940000057,3.019999981,2.910000086,2.970000029,2.920000076,2.799999952,2.809999943,2.940000057,2.839999914,2.910000086,2.920000076,2.809999943,2.799999952,2.769999981,2.849999905,10.92000008,7.71999979,7.809999943,7.78000021,7.710000038,7.650000095,7.5,7.409999847,7.28000021,7.21999979
"Unemployment, female (% of female labor force) (national estimate)",Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.12999916,..,..,..,..,2.819999933,10.86999989,7.710000038,..,..,9.100000381,..,..,..,..,..
"Unemployment, male (% of male labor force) (modeled ILO estimate)",Angola,..,4.829999924,4.679999828,4.739999771,4.760000229,4.730000019,4.670000076,4.760000229,4.699999809,4.800000191,4.889999866,4.860000134,4.789999962,4.880000114,4.769999981,4.679999828,4.639999866,4.519999981,4.489999771,4.710000038,7.949999809,7.010000229,6.929999828,6.989999771,6.909999847,6.880000114,6.900000095,6.78000021,6.71999979,6.630000114
"Unemployment, male (% of male labor force) (national estimate)",Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.30999947,..,..,..,..,4.670000076,7.909999847,7,..,..,9.960000038,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",Angola,..,3.75,3.779999971,3.849999905,3.869999886,3.859999895,3.859999895,3.859999895,3.859999895,3.880000114,3.869999886,3.849999905,3.880000114,3.880000114,3.849999905,3.809999943,3.730000019,3.660000086,3.630000114,3.779999971,9.430000305,7.360000134,7.369999886,7.380000114,7.309999943,7.260000229,7.199999809,7.099999905,7,6.929999828
"Unemployment, total (% of total labor force) (national estimate)",Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.63999939,..,..,..,..,3.779999971,9.430000305,7.360000134,..,..,9.579999924,..,..,..,..,..
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",Angola,..,5.920000076,6.320000172,6.429999828,6.429999828,6.46999979,6.590000153,6.400000095,6.519999981,6.440000057,6.21999979,6.239999771,6.46999979,6.320000172,6.420000076,6.449999809,6.25,6.21999979,6.179999828,6.340000153,21.19000053,16.59000015,16.79999924,16.79999924,16.70000076,16.62000084,16.36000061,16.20999908,16,15.92000008
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.34000015,..,..,..,..,6.809999943,20.86000061,16.62000084,..,..,16.71999931,..,..,..,..,..
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",Angola,..,11.5,11.18999958,11.26000023,11.22000027,11.10999966,10.93000031,11.10000038,10.94999981,11.11999989,11.31999969,11.25,11.15999985,11.27999973,11.06000042,10.93999958,10.84000015,10.60000038,10.52000046,10.82999992,17.60000038,17.19000053,17.07999992,17.20999908,17.06999969,17.01000023,17.04999924,16.84000015,16.76000023,16.62999916
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.13000107,..,..,..,..,11.40999985,17.69000053,16.80999947,..,..,17.87000084,..,..,..,..,..
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Angola,..,8.609999657,8.670000076,8.760000229,8.75,8.710000038,8.68999958,8.670000076,8.659999847,8.699999809,8.670000076,8.649999619,8.720000267,8.699999809,8.640000343,8.600000381,8.449999809,8.319999695,8.260000229,8.489999771,19.46999931,16.87999916,16.94000053,17,16.87999916,16.80999947,16.69000053,16.51000023,16.36000061,16.26000023
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.31000137,..,..,..,..,9.140000343,19.42000008,16.70999908,..,..,17.32999992,..,..,..,..,..
Access to electricity (% of population),Benin,..,..,..,..,..,..,14.5,18.06005669,19.17554474,20.29015541,21.39941978,21.9,23.58403397,24.65044403,25.69363022,26.71179771,27.9,28.71139336,29.71598816,30.73922729,34.2,36.9,38.4,35.62862778,34.1,37.70040131,38.97025299,34.5,41.52923965,..
"Children in employment, total (% of children ages 7-14)",Benin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.4,..,..,..,..,..,24.1,..,..,..,..,..,..,..
"Children out of school, primary",Benin,493668,..,442263,422018,425142,416016,406352,385559,..,..,..,..,..,190242,156091,212337,176619,..,139539,83737,75552,77060,67812,..,59910,..,..,52739,50858,120970
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Benin,..,..,9.560839653,..,..,..,..,..,..,..,..,..,14.31744957,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Benin,..,..,1.303130031,..,..,..,..,..,..,..,..,..,2.161499977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",Benin,..,..,..,..,..,..,..,..,..,..,..,..,2.161499977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in agriculture (% of total employment) (modeled ILO estimate),Benin,..,50.90000153,50.79999924,50.63999939,50.25999832,50.06000137,49.83000183,49.50999832,49.25,48.84999847,48.38999939,47.90999985,47.45999908,47.06999969,46.65000153,46.31999969,45.88000107,45.34000015,44.84999847,44.45000076,44.06999969,43.61000061,43.02999878,42.27000046,41.56000137,41.08000183,40.59000015,39.86999893,39.08000183,38.27000046
Employment in industry (% of total employment) (modeled ILO estimate),Benin,..,20.12000084,20.09000015,20.01000023,20.39999962,20.28000069,20.23999977,20.18000031,20.05999947,20.01000023,19.90999985,19.79999924,19.70999908,19.60000038,19.44000053,19.37000084,19.23999977,19.04999924,18.86000061,18.76000023,18.64999962,18.54999924,18.45999908,18.44000053,18.38999939,18.43000031,18.28000069,18.28000069,18.28000069,18.30999947
Employment in services (% of total employment) (modeled ILO estimate),Benin,..,28.97999954,29.11000061,29.35000038,29.34000015,29.64999962,29.93000031,30.30999947,30.69000053,31.13999939,31.70000076,32.29000092,32.84000015,33.33000183,33.90999985,34.31000137,34.88000107,35.61000061,36.29000092,36.79000092,37.27999878,37.84000015,38.5,39.29000092,40.04999924,40.49000168,41.13999939,41.84999847,42.63999939,43.41999817
GDP growth (annual %),Benin,8.976134361,4.225799419,2.957710826,5.836172088,2.020400448,6.045198648,4.324284031,5.734688377,3.961012138,5.341449372,5.857714205,5.333135706,4.643030871,3.443576776,4.429684554,1.713164564,3.943738828,5.986349322,4.896577084,2.319292139,2.114064726,2.963752919,4.811223316,7.191433721,6.357679098,1.77815106,3.339673426,5.671555469,6.697259461,..
Informal employment (% of total non-agricultural employment),Benin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94.54000092,..,..,..,..,..,..,..,..
"Informal employment, female (% of total non-agricultural employment)",Benin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.69999695,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Benin,..,..,27.24517059,..,..,..,..,..,..,..,..,..,34.65784836,..,..,..,28.70211029,..,..,..,..,..,32.94881821,..,..,..,..,..,42.36240005,..
"Literacy rate, youth total (% of people ages 15-24)",Benin,..,..,39.8766098,..,..,..,..,..,..,..,..,..,45.3096199,..,..,..,42.36270142,..,..,..,..,..,52.49246979,..,..,..,..,..,60.94807816,..
"Lower secondary completion rate, total (% of relevant age group)",Benin,6.569849968,..,..,..,..,..,..,..,..,..,15.20094013,16.50733948,18.04421997,..,..,..,25.49648094,..,..,..,..,37.39508057,..,46.56492996,43.17733002,45.10023117,45.84719849,..,..,..
"Over-age students, primary (% of enrollment)",Benin,20.89956,..,17.48172,17.39276,16.54924,16.69361,16.16731,15.73832,..,..,..,..,..,12.56116,12.56108,14.43944,11.4644,..,11.15563,9.88909,9.51117,9.44335,8.87161,9.05616,7.69632,..,..,9.24437,7.87445,..
"Share of youth not in education, employment or training, total (% of youth population)",Benin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.22999954,..,..,..,..,..,..,..,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",Benin,..,0.5400000215,0.5799999833,0.6200000048,0.6100000143,0.6399999857,0.5899999738,0.5799999833,0.5400000215,0.5299999714,0.5,0.4600000083,0.4300000072,0.5,0.5699999928,0.6200000048,0.6899999976,0.7400000095,0.7900000215,1,1.149999976,2.869999886,2.869999886,2.880000114,2.789999962,2.75999999,2.74000001,2.650000095,2.549999952,2.480000019
"Unemployment, female (% of female labor force) (national estimate)",Benin,..,..,0.5899999738,..,..,..,..,..,..,..,..,..,0.4300000072,..,..,..,..,..,..,..,1.139999986,2.859999895,..,..,..,..,..,..,..,..
"Unemployment, male (% of male labor force) (modeled ILO estimate)",Benin,..,2.150000095,2.170000076,2.069999933,1.940000057,1.75,1.629999995,1.480000019,1.360000014,1.25,1.120000005,1.00999999,0.9200000167,0.9499999881,0.9499999881,0.9599999785,0.9200000167,0.8999999762,0.8999999762,0.9499999881,0.9399999976,2.430000067,2.440000057,2.450000048,2.430000067,2.390000105,2.309999943,2.24000001,2.200000048,2.170000076
"Unemployment, male (% of male labor force) (national estimate)",Benin,..,..,2.210000038,..,..,..,..,..,..,..,..,..,0.9300000072,..,..,..,..,..,..,..,0.9300000072,2.420000076,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",Benin,..,1.480000019,1.50999999,1.460000038,1.370000005,1.269999981,1.179999948,1.080000043,1,0.9200000167,0.8399999738,0.75,0.6899999976,0.7300000191,0.7699999809,0.8000000119,0.8100000024,0.8199999928,0.8500000238,0.9700000286,1.039999962,2.650000095,2.650000095,2.660000086,2.609999895,2.569999933,2.519999981,2.440000057,2.369999886,2.319999933
"Unemployment, total (% of total labor force) (national estimate)",Benin,..,..,1.50999999,..,..,..,..,..,..,..,..,..,0.6899999976,..,..,..,..,..,..,..,1.039999962,2.650000095,..,..,..,..,..,..,..,..
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",Benin,..,0.6800000072,0.7200000286,0.7699999809,0.7900000215,0.8100000024,0.7799999714,0.7699999809,0.7400000095,0.7300000191,0.6899999976,0.6399999857,0.6000000238,0.7699999809,0.9499999881,1.139999986,1.330000043,1.539999962,1.779999971,2.359999895,2.819999933,5.739999771,5.75,5.800000191,5.650000095,5.590000153,5.5,5.349999905,5.190000057,5.070000172
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",Benin,..,..,0.75,..,..,..,..,..,..,..,..,..,0.6100000143,..,..,..,..,..,..,..,3.109999895,5.949999809,..,..,..,..,..,..,..,..
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",Benin,..,2.369999886,2.359999895,2.269999981,2.119999886,1.929999948,1.809999943,1.649999976,1.519999981,1.389999986,1.25999999,1.149999976,1.049999952,1.129999995,1.190000057,1.25,1.269999981,1.330000043,1.409999967,1.49000001,1.50999999,5.010000229,5.090000153,5.150000095,5.130000114,4.96999979,4.829999924,4.739999771,4.699999809,4.650000095
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",Benin,..,..,2.450000048,..,..,..,..,..,..,..,..,..,1.070000052,..,..,..,..,..,..,..,1.529999971,5.210000038,..,..,..,..,..,..,..,..
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Benin,..,1.669999957,1.690000057,1.639999986,1.549999952,1.450000048,1.360000014,1.25999999,1.159999967,1.080000043,0.9900000095,0.8999999762,0.8299999833,0.9499999881,1.070000052,1.190000057,1.299999952,1.440000057,1.600000024,1.950000048,2.210000038,5.400000095,5.440000057,5.5,5.409999847,5.300000191,5.190000057,5.070000172,4.960000038,4.880000114
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",Benin,..,..,1.690000057,..,..,..,..,..,..,..,..,..,0.8199999928,..,..,..,..,..,..,..,2.380000114,5.630000114,..,..,..,..,..,..,..,..
Access to electricity (% of population),Botswana,..,10.1,10.6452713,12.71876431,14.79345417,16.8699398,18.94882202,21.03069687,23.11532021,25.19906616,27.27746582,24.8,31.40035057,33.43589401,35.44821548,37.43552017,39.40671539,41.37338638,43.1,45.33948898,52.68436813,53.24,53.38058853,53.69979477,55.89428711,58.1154747,60.35446548,62.60235214,64.85172272,..
"Children out of school, primary",Botswana,21541,16491,18645,20099,20427,47935,46895,..,40163,43253,40855,37115,36871,36613,33780,32074,29540,34451,38945,41193,..,..,35318,35645,36284,..,..,..,..,..
Employment in agriculture (% of total employment) (modeled ILO estimate),Botswana,..,15.89999962,15.69999981,15.65999985,15.60000038,15.26000023,15.06999969,17.76000023,20.72999954,20.31999969,19.95999908,20.48999977,20.81999969,21.21999931,21.95999908,22.65999985,23.21999931,23.77000046,24.38999939,25.09000015,24.59000015,24.05999947,23.56999969,22.86000061,22.29000092,21.89999962,21.36000061,20.87999916,20.37000084,19.89999962
Employment in industry (% of total employment) (modeled ILO estimate),Botswana,..,25.45999908,25.60000038,25.64999962,25.79999924,25.96999931,25.79000092,23.82999992,22.29000092,21.63999939,21.15999985,21.63999939,22.12000084,22.63999939,21.73999977,20.86000061,20.06999969,19.44000053,18.79000092,18.11000061,18.06999969,18.06999969,18.04999924,18.03000069,18.01000023,18.01000023,17.94000053,17.86000061,17.75,17.62000084
Employment in services (% of total employment) (modeled ILO estimate),Botswana,..,58.63999939,58.70000076,58.68999863,58.59999847,58.77000046,59.13000107,58.40000153,56.99000168,58.04000092,58.88000107,57.88000107,57.06000137,56.13999939,56.29999924,56.47999954,56.70999908,56.79000092,56.81999969,56.79999924,57.34999847,57.88000107,58.36999893,59.11999893,59.70000076,60.09000015,60.70000076,61.25999832,61.88999939,62.49000168
GDP growth (annual %),Botswana,6.772821949,7.458709112,2.917070307,1.916107142,3.627916021,7.030410261,5.829800078,8.325890898,0.4436634803,9.667240742,1.987695854,0.2505738667,6.069530868,4.625894792,2.705821737,4.556645657,8.363871069,8.276763793,6.245437363,-7.652310203,8.563630792,6.048361455,4.456144471,11.34339697,4.149262255,-1.697935427,4.303767448,2.903997732,4.478836553,..
